trade_date,open,high,low,close,vol,amount,pct_change,ma_bfq_5,ma_bfq_20,ma_bfq_60,ema_bfq_10,ema_bfq_60,macd_dif_bfq,macd_dea_bfq,macd_bfq,dmi_adx_bfq,dmi_pdi_bfq,dmi_mdi_bfq,roc_bfq,mtm_bfq,updays,downdays,atr_bfq,boll_upper_bfq,boll_lower_bfq,rsi_bfq_12,cci_bfq,wr_bfq,kdj_k_bfq,kdj_d_bfq,obv_bfq,mfi_bfq
2023-01-09,3998.5278,4023.0898,3990.7073,4013.1196,117054425.0,233212426.46,0.8096,3948.6867,3902.58121,3817.34025,3928.32671,3882.95337,26.253,15.288,21.931,20.18527,34.17527,21.40617,4.76646,182.5812,6.0,0.0,45.49696,4015.457,3789.706,70.095,195.60626,5.098,86.54903,74.7887,4724166.99187,61.36058
2023-01-10,4014.7125,4030.4574,4002.2297,4017.4737,101751141.0,214871166.24,0.1085,3974.6016,3905.78273,3820.19128,3944.53525,3887.36387,31.938,18.618,26.641,24.51654,38.51662,12.01442,4.73004,181.4457,7.0,0.0,44.51215,4027.531,3784.035,70.551,149.99428,6.518,88.86018,79.47919,4734342.10597,68.44122
2023-01-11,4019.8844,4043.3991,4008.0153,4010.0309,99997889.0,203000262.96,-0.1853,3998.01824,3909.00021,3823.05401,3956.44355,3891.38574,35.435,21.981,26.907,28.05867,40.49673,11.95252,4.74926,181.8121,0.0,1.0,45.06053,4037.982,3780.018,68.6,119.68785,15.728,87.33069,82.09636,4724342.31707,74.21037
2023-01-12,4021.7547,4030.2876,4003.5079,4017.8692,90552627.0,183686268.11,0.1955,4007.87644,3912.14938,3827.07628,3967.61185,3895.53274,38.395,25.264,26.263,30.71065,37.88478,13.48307,4.53704,174.3805,1.0,0.0,44.55095,4048.333,3775.966,69.567,95.40313,12.034,87.54258,83.91176,4733397.57977,67.41052
2023-01-13,4032.2906,4074.3772,4027.8864,4074.3772,95871896.0,212173997.5,1.4064,4026.57412,3918.26882,3832.40045,3987.02373,3901.39649,44.785,29.168,31.234,40.26014,44.63248,10.47069,4.79759,186.5232,2.0,0.0,45.52633,4071.051,3765.487,75.5,115.37977,0.0,91.69505,86.50619,4742984.76937,72.94934
2023-01-16,4077.8793,4177.1035,4076.6394,4137.9643,151395455.0,319007749.37,1.5607,4051.54306,3927.45568,3838.98497,4014.46747,3909.15281,54.354,34.205,40.297,51.67721,54.12687,9.28332,6.88922,266.6999,3.0,0.0,49.11348,4107.454,3747.457,80.231,153.48385,11.317,90.16399,87.72546,4758124.31487,74.59289
2023-01-17,4138.8433,4148.5838,4118.157,4137.2422,95479040.0,204381576.52,-0.0175,4075.49676,3939.65676,3847.38279,4036.79015,3916.63115,61.173,39.599,43.149,59.1796,50.10319,9.54772,7.27413,280.5415,0.0,1.0,46.22826,4140.584,3738.73,80.039,133.29893,13.136,88.4257,87.95887,4748576.41087,75.00733
2023-01-18,4140.1019,4151.4577,4125.7687,4130.3143,84200645.0,172126171.82,-0.1675,4099.55344,3954.72161,3855.76379,4053.79454,3923.63716,65.267,44.732,41.068,61.9322,51.14642,9.39516,6.68143,258.6805,0.0,2.0,43.42547,4165.163,3744.28,78.089,117.89426,17.667,84.87929,86.93234,4740156.34637,80.7426
2023-01-19,4125.5772,4156.0077,4105.9797,4156.0077,94608398.0,192699589.77,0.6221,4127.18114,3970.99507,3864.0822,4072.37875,3931.25586,69.779,49.742,40.075,64.10903,49.76768,9.66226,6.89597,268.1085,1.0,0.0,44.3107,4190.643,3751.347,80.055,110.08638,10.015,86.14695,86.67055,4749617.18617,86.23076
2023-01-20,4166.8444,4189.831,4161.6698,4181.5267,123553809.0,222342455.1,0.614,4148.61104,3988.27001,3873.25524,4092.22383,3939.46147,74.555,54.705,39.702,67.63893,51.80378,9.61758,7.41287,288.579,2.0,0.0,42.96264,4216.903,3759.637,81.823,118.88832,4.17,89.28911,87.5434,4761972.56707,86.70768
2023-01-30,4267.6248,4268.1522,4197.8596,4201.345,164607064.0,330193322.09,0.4739,4161.28718,4006.92632,3884.25549,4112.06405,3948.04781,79.029,59.569,38.919,72.11344,61.69823,3.64516,5.86524,232.7668,3.0,0.0,45.17417,4241.101,3772.752,83.092,132.53396,25.123,84.44469,86.5105,4778433.27347,94.25955
2023-01-31,4200.5813,4212.7347,4153.0484,4156.8578,124550835.0,249365321.63,-1.0589,4165.2103,4022.59477,3895.05807,4120.20836,3954.89404,78.084,63.272,29.623,72.07588,57.54225,9.95819,4.42034,175.969,0.0,1.0,46.69408,4252.832,3792.357,70.957,79.86731,42.054,75.61168,82.87756,4765978.18997,86.24913
2023-02-01,4170.1322,4195.9332,4137.7659,4195.9332,141008954.0,265553944.71,0.94,4178.33408,4037.99873,3904.42073,4133.97652,3962.79696,79.571,66.532,26.078,70.62878,49.29123,12.59145,4.5554,182.8136,1.0,0.0,47.1844,4271.319,3804.678,74.522,72.64318,27.289,73.7218,79.82564,4780079.08537,86.51875
2023-02-02,4207.4123,4207.4123,4170.5565,4181.1493,133823736.0,262497434.84,-0.3523,4183.3624,4053.49298,3912.8098,4142.55339,3969.95606,78.65,68.956,19.389,68.78119,46.98927,12.537,4.07409,163.6756,0.0,1.0,47.38152,4281.564,3825.422,70.929,74.90552,36.211,67.33811,75.66313,4766696.71177,86.75785
2023-02-03,4162.0258,4162.0258,4103.1654,4141.6319,117041221.0,226914770.04,-0.9451,4175.38344,4067.73954,3921.03873,4142.38584,3975.58477,73.88,69.941,7.879,62.84153,41.41881,21.41046,3.2818,131.601,0.0,2.0,49.64151,4279.902,3855.577,62.184,15.08132,66.064,52.6637,67.99665,4754992.58967,79.54965
2023-02-06,4103.8307,4105.9445,4065.2224,4086.8779,110192717.0,226345113.97,-1.322,4152.49002,4078.50174,3926.36711,4132.29349,3979.23373,64.933,68.939,-8.013,54.77441,37.80976,25.05956,1.71754,69.0087,0.0,3.0,51.91938,4270.677,3886.327,52.416,-59.67219,89.329,38.66628,58.21986,4743973.31797,72.98521
2023-02-07,4098.3117,4107.3438,4077.9623,4094.2335,91360072.0,183537351.58,0.18,4139.96516,4088.81846,3931.68272,4125.37349,3983.00421,57.77,66.705,-17.871,43.0171,36.57516,25.25982,0.48735,19.8563,1.0,0.0,50.25119,4259.959,3917.678,53.487,-66.79585,85.704,30.54289,48.99421,4753109.32517,72.87198
2023-02-08,4099.8573,4111.4745,4072.6474,4076.1411,84786099.0,170591751.82,-0.4419,4116.00674,4097.97813,3937.12965,4116.42215,3986.05788,50.056,63.375,-26.639,34.28368,35.99776,24.96686,-1.49405,-61.8232,0.0,1.0,50.58013,4243.967,3951.99,50.441,-98.05146,94.619,22.15544,40.04795,4744630.71527,73.06027
2023-02-09,4067.5631,4130.8565,4064.7489,4130.8565,102289961.0,211722604.86,1.3423,4105.94818,4106.09204,3944.07276,4119.04658,3990.80538,47.807,60.262,-24.91,26.64948,32.35316,24.6567,-0.15435,-6.3857,1.0,0.0,49.78914,4239.945,3972.239,58.279,-68.14389,67.499,25.60388,35.23326,4754859.71137,73.18526
2023-02-10,4124.0986,4125.2893,4092.3472,4106.3097,96716733.0,195348320.57,-0.5942,4098.88374,4112.36309,3951.08311,4116.73078,3994.5924,43.542,56.918,-26.752,19.13723,20.7868,26.89147,-0.58118,-24.0046,0.0,1.0,50.01737,4233.294,3991.433,54.092,-64.27124,79.567,26.43069,32.29907,4745188.03807,66.11819
2023-02-13,4098.8795,4146.45,4092.2729,4143.574,128892577.0,251990181.55,0.9075,4110.22296,4118.88581,3957.00203,4121.61137,3999.47705,42.676,54.069,-22.786,14.85535,23.00234,26.01928,-0.29917,-12.4337,1.0,0.0,50.61618,4231.487,4006.285,58.973,-24.40568,46.735,36.03796,33.54537,4758077.29577,66.82004
2023-02-14,4151.247,4152.0487,4125.2583,4145.2902,102499890.0,204915435.75,0.0414,4120.4343,4125.27663,3962.85658,4125.91661,4004.2578,41.649,51.585,-19.872,12.3677,23.33934,25.9802,-0.86659,-36.2365,2.0,0.0,50.54431,4228.224,4022.329,59.191,1.2493,43.545,42.8438,36.64484,4768327.28477,67.19734
2023-02-15,4146.8547,4153.7159,4115.9671,4123.6893,121664508.0,219855528.97,-0.5211,4129.94394,4130.95955,3967.15186,4125.51164,4008.17359,38.646,48.997,-20.702,9.73875,23.73677,24.96679,-1.84835,-77.6557,0.0,1.0,50.66256,4219.352,4042.568,55.166,-16.5526,58.686,48.75931,40.683,4756160.83397,60.35318
2023-02-16,4125.4087,4167.9003,4068.8591,4093.4876,159310585.0,281315625.59,-0.7324,4122.47016,4134.74047,3971.47016,4119.68909,4010.97077,33.444,45.887,-24.885,10.82941,17.46649,28.88702,-1.52447,-63.3702,0.0,2.0,54.27564,4208.76,4060.721,49.983,-50.81714,72.139,41.79311,41.05304,4740229.77547,51.72296
